category,value,question,answer,image,answer_image
Fractions & Ratios,100,Simplify 10:15,2:3,,
Fractions & Ratios,200,What is 3/5 of 20?,12,,
Fractions & Ratios,300,Divide 4/5 by 2,2/5,,
Fractions & Ratios,400,If 8 items cost $24 what is the unit rate?,3 per item,,
Fractions & Ratios,500,A tank is 2/3 full and you use 1/3 of the tank how much is left?,1/3 full,,
Percent,100,Convert 75% to a decimal,0.75,,
Percent,200,Find 10% of 90,9,,
Percent,300,Convert 0.2 to a percent,20%,,
Percent,400,A $40 item is discounted 25% what is the discount?,10,,
Percent,500,A $80 item is increased by 25% what is the new price?,100,,
Expressions & Algebra,100,Solve x + 3 = 11,x = 8,,
Expressions & Algebra,200,Solve 4x = 32,x = 8,,
Expressions & Algebra,300,If x = 5 evaluate 3x + 4,19,,
Expressions & Algebra,400,Solve x - 9 = 20,x = 29,,
Expressions & Algebra,500,Solve 2x + 6 = 18,x = 6,,
Geometry Volume,100,Find the volume of a rectangular prism with length 4 width 3 height 2,24,,
Geometry Volume,200,Find the volume of a rectangular prism with length 5 width 2 height 6,60,,
Geometry Volume,300,A box has length 8 width 3 height 2 what is the volume?,48,,
Geometry Volume,400,A rectangular prism has volume 72 width 3 height 4 what is the length?,6,,
Geometry Volume,500,A box has length 2.5 width 4 height 3 what is the volume?,30,,
Data & Statistics,100,Find the mean of 2 6 and 10,6,,
Data & Statistics,200,Find the median of 1 4 7 9 11,7,,
Data & Statistics,300,Find the mode of 5 5 6 7 7 7,7,,
Data & Statistics,400,Find the range of 3 8 12 15,12,,
Data & Statistics,500,The mean of 3 numbers is 12 what is the total?,36,,
