Category,Value,Question,Answer
Volume,100,"What is the volume of a rectangular prism with dimensions 4 x 3 x 2?",24
Volume,200,"What is the volume of a rectangular prism with dimensions 5 x 4 x 3?",60
Volume,300,"A box is 6 cm long, 5 cm wide, and 2 cm high. What is the volume?",60
Volume,400,"A rectangular prism has a base of 5 x 4 and a volume of 100. What is the height?",5
Volume,500,"A box is 10 x 6 x 4. A smaller box of 4 x 3 x 2 is removed. What is the remaining volume?",216
Area,100,"What is the area of a rectangle with length 7 and width 3?",21
Area,200,"What is the area of a rectangle with length 10 and width 5?",50
Area,300,"What is the area of a triangle with base 8 and height 6?",24
Area,400,"A rectangle has area 64 and width 8. What is the length?",8
Area,500,"A triangle has area 36 and base 9. What is the height?",8
Decimals,100,"What is 0.3 + 0.4?",0.7
Decimals,200,"What is 2.5 - 0.5?",2
Decimals,300,"What is 1.2 x 3?",3.6
Decimals,400,"What is 4.8 ÷ 0.8?",6
Decimals,500,"What is 6.25 x 0.4?",2.5
Fractions,100,"What is 1/2 + 1/4?",3/4
Fractions,200,"What is 2/3 x 3?",2
Fractions,300,"What is 3/5 ÷ 1/2?",6/5
Fractions,400,"What is 2 1/2 x 2/3?",5/3
Fractions,500,"What is (4/5 ÷ 2/3) + 1/5?",7/5
Ratios and Rates,100,"Write the ratio of 12 to 4 in simplest form.",3:1
Ratios and Rates,200,"If 5 items cost $25, what is the cost per item?",5
Ratios and Rates,300,"A car travels 180 miles in 3 hours. What is the unit rate?",60
Ratios and Rates,400,"The ratio of red to blue is 3:7. If there are 50 total, how many are red?",15
Ratios and Rates,500,"A recipe uses 0.5 cups for 4 servings. How much for 20 servings?",2.5 cups
