Category,Value,Question,Answer
Data and Statistics,100,"What is the mean of 4, 6, 8?",6
Data and Statistics,200,"What is the median of 3, 5, 7, 9, 11?",7
Data and Statistics,300,"What is the mode of 2, 4, 4, 5, 6?",4
Data and Statistics,400,"The mean of 5 numbers is 8. What is their total?",40
Data and Statistics,500,"The mean of 4 numbers is 10. Three of the numbers are 8, 12, and 14. What is the fourth number?",6
Algebra Concepts,100,"In the expression 6x, what is the coefficient?",6
Algebra Concepts,200,"In the expression 9y + 2, what is the variable?",y
Algebra Concepts,300,"Evaluate 2x + 5 when x = 3.",11
Algebra Concepts,400,"Simplify 4(x + 3).",4x + 12
Algebra Concepts,500,"Simplify 3(2x + 4) - 2x.",4x + 12
Fractions,100,"What is 1/3 + 1/3?",2/3
Fractions,200,"What is 3/4 - 1/2?",1/4
Fractions,300,"What is 2/5 × 3?",6/5
Fractions,400,"What is 4/5 ÷ 2/3?",6/5
Fractions,500,"What is (2/3 ÷ 1/2) + 1/6?",3/2
Ratios and Rates,100,"Write the ratio of 12 to 6 in simplest form.",2:1
Ratios and Rates,200,"If 4 pencils cost $8, what is the cost per pencil?",2
Ratios and Rates,300,"A car travels 90 miles in 1.5 hours. What is the unit rate?",60
Ratios and Rates,400,"The ratio of boys to girls is 4:6. If there are 30 students total, how many are boys?",12
Ratios and Rates,500,"A recipe uses 2/5 cup of milk for 2 servings. How much is needed for 10 servings?",2 cups
Order of Operations,100,"What is 9 + 3 x 2?",15
Order of Operations,200,"What is (9 + 3) x 2?",24
Order of Operations,300,"What is 16 ÷ 4 + 3 x 2?",10
Order of Operations,400,"What is 18 - (6 ÷ 2) x 3?",9
Order of Operations,500,"What is 30 ÷ [5 x (2 + 1)] + 6?",8
