Category,Value,Question,Answer
Decimals,100,"What is 0.6 + 0.3?",0.9
Decimals,200,"What is 3.5 - 1.8?",1.7
Decimals,300,"What is 2.4 × 0.5?",1.2
Decimals,400,"What is 4.2 ÷ 0.6?",7
Decimals,500,"A shirt costs $24.75. You buy 3 shirts. What is the total cost?",74.25
Algebra Concepts,100,"In the expression 4x, what is the coefficient?",4
Algebra Concepts,200,"In the expression 8y + 1, what is the variable?",y
Algebra Concepts,300,"Evaluate 2x + 3 when x = 4.",11
Algebra Concepts,400,"Simplify 5(x + 2).",5x + 10
Algebra Concepts,500,"Simplify 3(2x + 1) - x.",5x + 3
Fractions,100,"What is 1/4 + 1/2?",3/4
Fractions,200,"What is 2/3 × 3?",2
Fractions,300,"What is 3/5 ÷ 1/2?",6/5
Fractions,400,"What is 2 1/2 × 2/3?",5/3
Fractions,500,"What is (4/5 ÷ 2/3) + 1/5?",7/5
Ratios and Rates,100,"Write the ratio of 15 to 5 in simplest form.",3:1
Ratios and Rates,200,"If 3 items cost $9, what is the cost per item?",3
Ratios and Rates,300,"A car travels 210 miles in 3 hours. What is the unit rate?",70
Ratios and Rates,400,"The ratio of red to blue is 2:5. If there are 35 total, how many are red?",10
Ratios and Rates,500,"A recipe uses 0.5 cups for 4 servings. How much for 12 servings?",1.5 cups
Data and Statistics,100,"What is the mean of 3, 6, 9?",6
Data and Statistics,200,"What is the median of 2, 4, 6, 8, 10?",6
Data and Statistics,300,"What is the mode of 1, 2, 2, 3, 4?",2
Data and Statistics,400,"The mean of 4 numbers is 5. What is the total?",20
Data and Statistics,500,"The mean is 6. Three numbers are 4, 5, and 7. What is the fourth number?",8
