category,value,question,answer,image,answer_image
Fractions & Ratios,100,Simplify 14:21,2:3,,
Fractions & Ratios,200,What is 4/5 of 25?,20,,
Fractions & Ratios,300,Divide 3/4 by 1/2,3/2,,
Fractions & Ratios,400,If 6 items cost $18 what is the unit rate?,3 per item,,
Fractions & Ratios,500,A tank is 5/6 full and you use 1/3 of the tank how much is left?,1/2 full,,
Decimals,100,Add 4.2 + 3.8,8,,
Decimals,200,Multiply 0.3 × 9,2.7,,
Decimals,300,Divide 5.6 ÷ 2,2.8,,
Decimals,400,Order from least to greatest 0.5 0.05 0.55,0.05 0.5 0.55,,
Decimals,500,A student runs 2.25 miles each day for 4 days how far total?,9 miles,,
Expressions & Algebra,100,Solve x + 8 = 14,x = 6,,
Expressions & Algebra,200,Solve 7x = 49,x = 7,,
Expressions & Algebra,300,If x = 3 evaluate 2x + 6,12,,
Expressions & Algebra,400,Solve x - 5 = 17,x = 22,,
Expressions & Algebra,500,Solve 3x + 9 = 24,x = 5,,
Percent,100,Convert 50% to a decimal,0.5,,
Percent,200,Convert 0.25 to a percent,25%,,
Percent,300,Find 30% of 50,15,,
Percent,400,A $60 item is discounted 20% what is the discount?,12,,
Percent,500,A $80 item is discounted 25% then increased by 10% what is the final price?,66,,
Geometry & Measurement,100,Find the area of a rectangle with length 6 and width 3,18,,
Geometry & Measurement,200,Find the perimeter of a rectangle with sides 4 and 5,18,,
Geometry & Measurement,300,Find the volume of a rectangular prism with length 3 width 3 height 4,36,,
Geometry & Measurement,400,Find the area of a triangle with base 10 and height 6,30,,
Geometry & Measurement,500,A rectangle has area 40 and width 5 what is the length?,8,,
