category,value,question,answer,image,answer_image
Proportional Relationships,100,What is 12 ÷ 4?,3,,
Proportional Relationships,200,If 3 items cost $9 what is the unit rate?,3 per item,,
Proportional Relationships,300,3/4 = x/20,x = 15,,
Proportional Relationships,400,If 5/8 = x/40 what is x?,25,,
Proportional Relationships,500,A car travels 180 miles in 3 hours what is the unit rate?,60 mph,,

Equations,100,x + 7 = 15,x = 8,,
Equations,200,2x = 18,x = 9,,
Equations,300,2x + 5 = 13,x = 4,,
Equations,400,3(x + 2) = 18,x = 4,,
Equations,500,4x - 6 = 2x + 10,x = 8,,

Integers,100,-7 + 10,3,,
Integers,200,9 - (-3),12,,
Integers,300,-4 × 6,-24,,
Integers,400,5 + (-3)(2),-1,,
Integers,500,-6(3 - 7),24,,

Percent,100,Convert 75% to a decimal,0.75,,
Percent,200,Find 20% of 50,10,,
Percent,300,Find 15% of 200,30,,
Percent,400,A $80 item is 25% off what is the discount?,20,,
Percent,500,A $120 item is discounted 50% what is the final price?,60,,

Word Problems,100,If 2 pencils cost $4 how much do 5 pencils cost?,10,,
Word Problems,200,A car goes 120 miles in 2 hours how far in 5 hours?,300 miles,,
Word Problems,300,If 4 shirts cost $28 how much do 6 shirts cost?,42,,
Word Problems,400,A recipe uses 3 cups of flour for 12 cookies how many cups for 20 cookies?,5 cups,,
Word Problems,500,A runner travels 6 miles in 48 minutes how far in 2 hours?,15 miles,,
