category,value,question,answer,image,answer_image
Quadratics + Final Review,100,Solve: x^2 = 25,x = 5 or x = -5,,
Quadratics + Final Review,200,Factor: x^2 + 5x + 6,(x + 2)(x + 3),,
Quadratics + Final Review,300,Solve: x^2 + 7x + 10 = 0,x = -5 or x = -2,,
Quadratics + Final Review,400,Which is quadratic: y = x^2 + 3x or y = 2x + 5?,y = x^2 + 3x,,
Quadratics + Final Review,500,A rectangle has area x^2 + 5x + 6. Find possible side lengths,(x + 2) and (x + 3),,

Algebra / Equations,100,Solve: x + 8 = 15,x = 7,,
Algebra / Equations,200,Solve: 2x - 4 = 10,x = 7,,
Algebra / Equations,300,Solve: 3(x + 2) = 18,x = 4,,
Algebra / Equations,400,Solve: 4x - 5 = 2x + 9,x = 7,,
Algebra / Equations,500,Solve: 5(2x - 3) + 4 = 3(x + 7),x = 19/7,,

Proportions / Functions / Relationships,100,If y = 2x + 1 find y when x = 3,y = 7,,
Proportions / Functions / Relationships,200,Find slope between (2,4) and (6,12),m = 2,,
Proportions / Functions / Relationships,300,Write equation with slope -2 and intercept 3,y = -2x + 3,,
Proportions / Functions / Relationships,400,Find equation through (1,2) with slope 4,y = 4x - 2,,
Proportions / Functions / Relationships,500,A line has slope 3 and passes through (2,5). Find equation,y = 3x - 1,,

Percent / Real-World Applications,100,What is 15% of 60?,9,,
Percent / Real-World Applications,200,A $80 item is increased 25%. New price?,100,,
Percent / Real-World Applications,300,A value goes from 30 to 45. Percent increase?,50%,,
Percent / Real-World Applications,400,A car travels 210 miles in 3 hours. Rate?,70 mph,,
Percent / Real-World Applications,500,A value decreases from 200 to 150. Percent decrease?,25%,,

Error Analysis / Word Problems,100,A student says x^2 = 16 has one solution x = 4. What is correct?,x = 4 and x = -4,,
Error Analysis / Word Problems,200,A student factors x^2 + 5x + 6 as (x + 1)(x + 6). Mistake?,Incorrect factor pairs,,
Error Analysis / Word Problems,300,A student solves x^2 + 4x = 0 as x = -4 only. What is correct?,x = 0 and x = -4,,
Error Analysis / Word Problems,400,A student says slope in y = 3x + 2 is 2. What is correct?,Slope is 3,,
Error Analysis / Word Problems,500,A ball’s height is h = x^2 - 6x + 8. When does it hit ground?,x = 2 and x = 4,,
