Category,Value,Question,Answer
Area,100,"What is the area of a rectangle with length 6 and width 4?",24
Area,200,"What is the area of a rectangle with length 9 and width 5?",45
Area,300,"What is the area of a triangle with base 10 and height 6?",30
Area,400,"A rectangle has area 72 and width 8. What is the length?",9
Area,500,"A rectangle is 10 by 6. A smaller rectangle of 4 by 3 is cut out. What is the remaining area?",48
Expressions and Order of Operations,100,"What is 7 + 3 × 2?",13
Expressions and Order of Operations,200,"What is (7 + 3) × 2?",20
Expressions and Order of Operations,300,"Evaluate 2x + 6 when x = 3.",12
Expressions and Order of Operations,400,"Simplify 3(4 + 5) - 6.",21
Expressions and Order of Operations,500,"Simplify 4(2x + 3) - 2x when x = 2.",18
Decimals,100,"What is 0.2 + 0.3?",0.5
Decimals,200,"What is 3.5 - 1.5?",2
Decimals,300,"What is 2.5 × 2?",5
Decimals,400,"What is 4.8 ÷ 0.6?",8
Decimals,500,"What is 3.75 × 2?",7.5
Fractions,100,"What is 1/3 + 1/3?",2/3
Fractions,200,"What is 3/4 - 1/2?",1/4
Fractions,300,"What is 2/5 × 5?",2
Fractions,400,"What is 4/5 ÷ 2/3?",6/5
Fractions,500,"What is (3/4 ÷ 1/2) + 1/4?",7/4
Ratios and Rates,100,"Write the ratio of 18 to 6 in simplest form.",3:1
Ratios and Rates,200,"If 4 items cost $20, what is the cost per item?",5
Ratios and Rates,300,"A car travels 160 miles in 4 hours. What is the unit rate?",40
Ratios and Rates,400,"The ratio of cats to dogs is 3:5. If there are 40 animals, how many are cats?",15
Ratios and Rates,500,"A recipe uses 1/2 cup for 2 servings. How much for 12 servings?",3 cups
