category,value,question,answer,image,answer_image
Linear Equations,100,Solve: 3x + 7 = 22,x = 5,,
Linear Equations,200,Solve: 2(x + 4) = 18,x = 5,,
Linear Equations,300,Solve: 5x - 3 = 2x + 9,x = 4,,
Linear Equations,400,Solve: 3(x - 2) + 5 = 2x + 11,x = 12,,
Linear Equations,500,Solve: 4(2x - 3) + 5 = 3(x + 7) + 2x,x = 5,,

Algebra / Equations,100,Solve: x/4 = 6,x = 24,,
Algebra / Equations,200,Solve: 7x + 2 = 3x + 18,x = 4,,
Algebra / Equations,300,Solve: 2(x + 3) + x = 15,x = 3,,
Algebra / Equations,400,Solve: 3(x - 1) + 2(x + 4) = 5x + 3,x = -5,,
Algebra / Equations,500,Solve: 5(2x - 1) - 3x = 4(x + 6) + x,x = 29/4,,

Proportions / Functions / Relationships,100,If y = 2x + 1, find y when x = 3,y = 7,,
Proportions / Functions / Relationships,200,If y = 3x - 2, find x when y = 10,x = 4,,
Proportions / Functions / Relationships,300,Is (1,5) on the line y = 4x + 1? Explain briefly,Yes because 4(1)+1=5,,
Proportions / Functions / Relationships,400,Find slope between (2,3) and (6,11),m = 2,,
Proportions / Functions / Relationships,500,Find equation of line with slope 3 passing through (1,2),y = 3x - 1,,

Percent / Real-World Applications,100,What is 20% of 50?,10,,
Percent / Real-World Applications,200,A $40 item is discounted 25%. What is the sale price?,30,,
Percent / Real-World Applications,300,After a 10% increase a price becomes $55. What was original price?,50,,
Percent / Real-World Applications,400,A car travels 120 miles in 2 hours. What is the rate?,60 mph,,
Percent / Real-World Applications,500,A value increases from 80 to 100. What is the percent increase?,25%,,

Error Analysis / Word Problems,100,A student says x + 5 = 10 gives x = 15. What is correct?,x = 5,,
Error Analysis / Word Problems,200,A student solves 2(x+3)=10 as 2x+3=10. What mistake?,Did not distribute correctly,,
Error Analysis / Word Problems,300,Solve: A number plus 4 is twice the number. What is the number?,x = -4,,
Error Analysis / Word Problems,400,A student solves 3x - 2 = 2x + 5 and gets x = 7. What went wrong?,Incorrect subtraction of x terms,,
Error Analysis / Word Problems,500,The sum of twice a number and 5 equals 3 times the number minus 1. Find the number.,x = 6,,
