Category,Value,Question,Answer
Percents,100,"What is 50% as a decimal?",0.5
Percents,200,"What is 0.25 as a percent?",25%
Percents,300,"What is 20% of 50?",10
Percents,400,"A $40 item is discounted 25%. What is the discount amount?",10
Percents,500,"A $80 item is discounted 25% and then taxed 10% on the discounted price. What is the final price?",66
Fractions,100,"What is 1/2 + 1/4?",3/4
Fractions,200,"What is 3/4 - 1/2?",1/4
Fractions,300,"What is 2/3 x 3/4?",1/2
Fractions,400,"What is 4/5 ÷ 2/3?",6/5
Fractions,500,"What is (3/4 ÷ 1/2) + 1/4?",7/4
Decimals,100,"What is 0.6 + 0.2?",0.8
Decimals,200,"What is 2.5 - 0.5?",2
Decimals,300,"What is 1.5 x 2?",3
Decimals,400,"What is 3.6 ÷ 0.6?",6
Decimals,500,"What is 2.75 x 4?",11
Ratios and Rates,100,"Write the ratio of 10 to 5 in simplest form.",2:1
Ratios and Rates,200,"If 4 items cost $16, what is the cost per item?",4
Ratios and Rates,300,"A car travels 150 miles in 3 hours. What is the unit rate?",50
Ratios and Rates,400,"The ratio of boys to girls is 2:3. If there are 25 students, how many are boys?",10
Ratios and Rates,500,"A recipe uses 1/2 cup for 4 servings. How much for 16 servings?",2 cups
Expressions and Order of Operations,100,"What is 6 + 4 x 2?",14
Expressions and Order of Operations,200,"What is (6 + 4) x 2?",20
Expressions and Order of Operations,300,"Evaluate 2x + 5 when x = 3.",11
Expressions and Order of Operations,400,"Simplify 3(4 + 2) - 5.",13
Expressions and Order of Operations,500,"Simplify 4(2x + 3) - 2x when x = 2.",18
