category,value,question,answer,image,answer_image
Expressions & Equations,100,Combine like terms 5x + 3x,8x,,
Expressions & Equations,200,Solve x + 6 = 15,x = 9,,
Expressions & Equations,300,Solve 2x + 4 = 12,x = 4,,
Expressions & Equations,400,Solve 3(x - 2) = 12,x = 6,,
Expressions & Equations,500,Solve 4x - 7 = 2x + 9,x = 8,,

Integers,100,-8 + 5,-3,,
Integers,200,6 - (-4),10,,
Integers,300,-3 × 6,-18,,
Integers,400,4 + (-2)(3),-2,,
Integers,500,-5(2 - 6),20,,

Proportions,100,What is 12 ÷ 3?,4,,
Proportions,200,If 5 items cost $15 what is the unit rate?,3 per item,,
Proportions,300,2/3 = x/12,x = 8,,
Proportions,400,If 4/6 = x/18 what is x?,12,,
Proportions,500,A car travels 210 miles in 3 hours what is the unit rate?,70 mph,,

Percent,100,Convert 20% to a decimal,0.2,,
Percent,200,Find 50% of 80,40,,
Percent,300,Find 10% of 250,25,,
Percent,400,A $40 item is 25% off what is the discount?,10,,
Percent,500,A $100 item is discounted 20% what is the final price?,80,,

Error Analysis,100,A student says 2x + 3x = 6x what is the mistake?,They added coefficients wrong correct is 5x,,
Error Analysis,200,A student solves x + 5 = 12 and gets x = 17 what is wrong?,They added instead of subtracting,,
Error Analysis,300,A student solves 2x + 4 = 12 and gets x = 8 what is wrong?,They did not subtract 4 first,,
Error Analysis,400,A student solves 3(x - 2) = 12 and gets x = 2 what is wrong?,They did not distribute or solve correctly answer is 6,,
Error Analysis,500,A student solves 4x - 7 = 2x + 9 and gets x = 1 what is wrong?,They moved terms incorrectly correct answer is 8,,
