category,value,question,answer,image,answer_image
Fractions & Ratios,100,Simplify 20:30,2:3,,
Fractions & Ratios,200,What is 3/4 of 16?,12,,
Fractions & Ratios,300,Divide 3/5 by 1/2,6/5,,
Fractions & Ratios,400,If 7 items cost $14 what is the unit rate?,2 per item,,
Fractions & Ratios,500,A tank is 1/2 full and you add 1/4 of the tank how full is it?,3/4 full,,
Percent,100,Convert 25% to a decimal,0.25,,
Percent,200,Find 20% of 50,10,,
Percent,300,Convert 0.6 to a percent,60%,,
Percent,400,A shirt costs $40 and is 25% off what is the discount?,10,,
Percent,500,A $60 item is increased by 10% what is the new price?,66,,
Expressions & Order of Operations,100,Evaluate 7 + 3 × 4,19,,
Expressions & Order of Operations,200,Evaluate 20 - 6 × 2 + 3,11,,
Expressions & Order of Operations,300,Evaluate 18 ÷ 3 × 2 + 4,16,,
Expressions & Order of Operations,400,If x = 5 evaluate 3x + 7,22,,
Expressions & Order of Operations,500,If x = 4 evaluate 2x × 3 + 5,29,,
Basic Algebra Concepts,100,Solve x + 9 = 16,x = 7,,
Basic Algebra Concepts,200,Solve 3x = 24,x = 8,,
Basic Algebra Concepts,300,Solve x - 6 = 15,x = 21,,
Basic Algebra Concepts,400,Solve 2x + 4 = 14,x = 5,,
Basic Algebra Concepts,500,Solve 4x - 3 = 13,x = 4,,
Geometry & Measurement,100,Find the area of a rectangle with length 8 and width 2,16,,
Geometry & Measurement,200,Find the perimeter of a rectangle with sides 5 and 7,24,,
Geometry & Measurement,300,Find the area of a triangle with base 10 and height 4,20,,
Geometry & Measurement,400,Find the volume of a rectangular prism with length 2 width 3 height 6,36,,
Geometry & Measurement,500,Find the area of a rectangle with length 6.5 and width 2,13,,
