category,value,question,answer,image,answer_image
Fractions & Ratios,100,Simplify 12:16,3:4,,
Fractions & Ratios,200,What is 2/3 of 18?,12,,
Fractions & Ratios,300,Multiply 3/4 by 8,6,,
Fractions & Ratios,400,If 9 items cost $27 what is the unit rate?,3 per item,,
Fractions & Ratios,500,A tank is 3/4 full and you use 1/2 of the tank how much is left?,1/4 full,,
Percent,100,Convert 50% to a decimal,0.5,,
Percent,200,Find 25% of 80,20,,
Percent,300,Convert 0.45 to a percent,45%,,
Percent,400,A $30 item is discounted 20% what is the discount?,6,,
Percent,500,A $50 item is increased by 20% what is the new price?,60,,
Expressions & Algebra,100,Solve x + 4 = 13,x = 9,,
Expressions & Algebra,200,Solve 5x = 40,x = 8,,
Expressions & Algebra,300,If x = 6 evaluate 2x + 3,15,,
Expressions & Algebra,400,Solve x - 7 = 18,x = 25,,
Expressions & Algebra,500,Solve 3x + 5 = 20,x = 5,,
Geometry Area,100,Find the area of a rectangle with length 5 and width 4,20,,
Geometry Area,200,Find the area of a rectangle with length 7 and width 3,21,,
Geometry Area,300,Find the area of a triangle with base 8 and height 6,24,,
Geometry Area,400,A rectangle has length 10 and width 2.5 what is the area?,25,,
Geometry Area,500,A rectangle has area 36 and width 4 what is the length?,9,,
Data & Statistics,100,Find the mean of 3 6 and 9,6,,
Data & Statistics,200,Find the median of 2 5 7 10,6,,
Data & Statistics,300,Find the mode of 4 4 5 6 6 6,6,,
Data & Statistics,400,Find the range of 8 12 15 20,12,,
Data & Statistics,500,The mean of 5 numbers is 11 what is the total?,55,,
