Category,Value,Question,Answer
Ratios and Rates,100,"Write the ratio of 8 to 4 in simplest form.",2:1
Ratios and Rates,200,"If 5 notebooks cost $15, what is the cost per notebook?",3
Ratios and Rates,300,"A car travels 180 miles in 3 hours. What is the unit rate in miles per hour?",60
Ratios and Rates,400,"The ratio of red to blue marbles is 3:7. If there are 50 marbles total, how many are red?",15
Ratios and Rates,500,"A recipe uses 3/4 cup of sugar for 6 servings. How much sugar is needed for 16 servings?",2 cups
Fractions,100,"What is 1/2 + 1/4?",3/4
Fractions,200,"What is 3/5 × 2?",6/5
Fractions,300,"What is 4/5 ÷ 2/3?",6/5
Fractions,400,"What is 2 1/4 × 2/3?",3/2
Fractions,500,"What is (3/4 ÷ 1/2) + 2/3?",13/6
Order of Operations,100,"What is 8 + 2 x 3?",14
Order of Operations,200,"What is (8 + 2) x 3?",30
Order of Operations,300,"What is 15 - 3 x 4 + 2?",5
Order of Operations,400,"What is 24 ÷ (2 + 4) x 3?",12
Order of Operations,500,"What is 30 - [8 ÷ (2 + 2)] x 5?",20
Multiplication and Division,100,"What is 9 x 6?",54
Multiplication and Division,200,"What is 56 ÷ 7?",8
Multiplication and Division,300,"What is 2.5 x 4?",10
Multiplication and Division,400,"What is 180 ÷ 0.2?",900
Multiplication and Division,500,"A worker earns $15 per hour. How much do they earn in 7.5 hours?",112.5
Area,100,"What is the area of a rectangle with length 6 and width 2?",12
Area,200,"What is the area of a rectangle with length 9 and width 3?",27
Area,300,"What is the area of a triangle with base 8 and height 5?",20
Area,400,"A rectangle has area 54 and width 6. What is the length?",9
Area,500,"A triangle has area 60 and base 10. What is the height?",12
