category,value,question,answer,image,answer_image
Fractions & Ratios,100,Simplify 15:20,3:4,,
Fractions & Ratios,200,What is 3/4 of 20?,15,,
Fractions & Ratios,300,Convert 5/8 to a decimal,0.625,,
Fractions & Ratios,400,If 6 notebooks cost $9 what is the unit rate?,1.50 per notebook,,
Fractions & Ratios,500,A recipe uses 2/3 cup of sugar and you triple it how much do you need?,2 cups,,
Decimals,100,Add 3.4 + 2.6,6,,
Decimals,200,Multiply 0.5 × 8,4,,
Decimals,300,Divide 4.8 ÷ 2,2.4,,
Decimals,400,Order from least to greatest 0.6 0.06 0.66,0.06 0.6 0.66,,
Decimals,500,A student ran 1.25 miles each day for 4 days how far total?,5 miles,,
Expressions & Order of Operations,100,Evaluate 6 + 3 × 2,12,,
Expressions & Order of Operations,200,Evaluate 20 - 4 × 3,8,,
Expressions & Order of Operations,300,Evaluate 18 ÷ 3 + 7,13,,
Expressions & Order of Operations,400,Evaluate 5 + 2 × 6 - 3,14,,
Expressions & Order of Operations,500,Evaluate 24 ÷ 4 × 2 + 5,17,,
Basic Algebra Concepts,100,Solve x + 7 = 15,x = 8,,
Basic Algebra Concepts,200,Solve 4x = 28,x = 7,,
Basic Algebra Concepts,300,If x = 3 evaluate 2x + 5,11,,
Basic Algebra Concepts,400,Solve x - 9 = 14,x = 23,,
Basic Algebra Concepts,500,Solve 3x + 4 = 19,x = 5,,
Data & Statistics,100,Find the mean of 5 7 and 9,7,,
Data & Statistics,200,Find the median of 2 6 8 10,7,,
Data & Statistics,300,Find the mode of 3 4 4 6 7,4,,
Data & Statistics,400,Find the range of 5 9 12 15,10,,
Data & Statistics,500,The mean of 4 numbers is 10 what is the total?,40,,
