category,value,question,answer,image,answer_image
Fractions & Ratios,100,Simplify 18:24,3:4,,
Fractions & Ratios,200,What is 2/3 of 21?,14,,
Fractions & Ratios,300,Convert 7/8 to a decimal,0.875,,
Fractions & Ratios,400,If 5 items cost $10 what is the unit rate?,2 dollars per item,,
Fractions & Ratios,500,A recipe uses 3/4 cup of milk and you double it how much do you need?,1.5 cups,,
Decimals,100,Add 2.5 + 3.7,6.2,,
Decimals,200,Multiply 0.4 × 5,2,,
Decimals,300,Divide 6.3 ÷ 3,2.1,,
Decimals,400,Order from least to greatest 0.9 0.09 0.99,0.09 0.9 0.99,,
Decimals,500,A runner runs 2.5 miles each day for 3 days how far total?,7.5 miles,,
Expressions & Algebra,100,Solve x + 6 = 13,x = 7,,
Expressions & Algebra,200,Solve 5x = 35,x = 7,,
Expressions & Algebra,300,If x = 4 evaluate 3x + 2,14,,
Expressions & Algebra,400,Solve x - 8 = 17,x = 25,,
Expressions & Algebra,500,Solve 2x + 5 = 17,x = 6,,
Data & Statistics,100,Find the mean of 6 8 and 10,8,,
Data & Statistics,200,Find the median of 3 5 7 9 11,7,,
Data & Statistics,300,Find the mode of 2 4 4 5 6 6 6,6,,
Data & Statistics,400,Find the range of 4 9 12 15 20,16,,
Data & Statistics,500,The mean of 6 numbers is 9 what is the total?,54,,
Geometry & Measurement,100,Find the area of a rectangle with length 6 and width 4,24,,
Geometry & Measurement,200,Find the perimeter of a square with side 5,20,,
Geometry & Measurement,300,Find the area of a triangle with base 8 and height 5,20,,
Geometry & Measurement,400,Find the volume of a rectangular prism with length 3 width 4 height 5,60,,
Geometry & Measurement,500,Find the area of a rectangle with length 7.5 and width 2,15,,
