category,value,question,answer,image,answer_image
Functions + Representations,100,"If f(x) = x + 3 find f(4)","7",,
Functions + Representations,200,"If f(x) = 2x - 1 find f(5)","9",,
Functions + Representations,300,"A table shows x: 1 2 3 and y: 4 7 10. What is the rule?","y = 3x + 1",,
Functions + Representations,400,"Given y = -2x + 5 what is y when x = 3?","-1",,
Functions + Representations,500,"A table shows x: 2 4 6 and y: 5 9 13. Write the equation","y = 2x + 1",,

Algebra / Equations,100,"Solve: x + 6 = 14","x = 8",,
Algebra / Equations,200,"Solve: 3x = 18","x = 6",,
Algebra / Equations,300,"Solve: 4x - 5 = 11","x = 4",,
Algebra / Equations,400,"Solve: 2(x + 3) = 16","x = 5",,
Algebra / Equations,500,"Solve: 3(x - 2) + 4 = 2x + 10","x = 12",,

Proportions / Functions / Relationships,100,"Is (2,6) on y = 3x?","Yes",,
Proportions / Functions / Relationships,200,"Find slope between (1,2) and (3,6)","m = 2",,
Proportions / Functions / Relationships,300,"Write equation with slope 4 and intercept -1","y = 4x - 1",,
Proportions / Functions / Relationships,400,"A line passes through (2,5) and slope 3. Equation?","y = 3x - 1",,
Proportions / Functions / Relationships,500,"Which grows faster: y = 5x or y = 3x + 10 for large x?","y = 5x",,

Percent / Real-World Applications,100,"What is 25% of 40?","10",,
Percent / Real-World Applications,200,"A $80 item is discounted 50%. Price?","40",,
Percent / Real-World Applications,300,"A value increases from 20 to 30. Percent increase?","50%",,
Percent / Real-World Applications,400,"A runner goes 12 miles in 2 hours. Rate?","6 mph",,
Percent / Real-World Applications,500,"A salary goes from 2000 to 2600. Percent increase?","30%",,

Error Analysis / Word Problems,100,"A student says f(3) for f(x)=x+2 is 6. What is correct?","5",,
Error Analysis / Word Problems,200,"A student says (2,5) is not on y=2x+1. What is correct?","It is on the line",,
Error Analysis / Word Problems,300,"A student finds rule from table as y = x + 3 when pattern is +4 each time. Mistake?","Wrong rate of change",,
Error Analysis / Word Problems,400,"A student writes y = 2x + 1 from table x:1 2 3 y:3 5 7. What is correct?","y = 2x + 1 is correct",,
Error Analysis / Word Problems,500,"A taxi charges $3 start and $2 per mile. Write equation","y = 2x + 3",,
