Category,Value,Question,Answer
Algebra Concepts,100,"In the expression 5x, what is the coefficient?",5
Algebra Concepts,200,"In the expression 7y + 3, what is the variable?",y
Algebra Concepts,300,"Evaluate 3x + 4 when x = 2.",10
Algebra Concepts,400,"Simplify 3(x + 4).",3x + 12
Algebra Concepts,500,"Simplify 2(3x + 5) - 4x.",2x + 10
Fractions,100,"What is 2/3 + 1/3?",1
Fractions,200,"What is 4/5 - 1/5?",3/5
Fractions,300,"What is 3/4 × 2/3?",1/2
Fractions,400,"What is 5/6 ÷ 1/2?",5/3
Fractions,500,"What is (3/4 ÷ 1/2) + 1/3?",11/6
Ratios and Rates,100,"Write the ratio of 10 to 5 in simplest form.",2:1
Ratios and Rates,200,"If 6 apples cost $12, what is the cost per apple?",2
Ratios and Rates,300,"A car travels 120 miles in 2 hours. What is the unit rate?",60
Ratios and Rates,400,"The ratio of cats to dogs is 2:3. If there are 25 animals total, how many are cats?",10
Ratios and Rates,500,"A recipe uses 1/2 cup of oil for 4 servings. How much is needed for 20 servings?",2 1/2 cups
Order of Operations,100,"What is 10 - 2 x 3?",4
Order of Operations,200,"What is (10 - 2) x 3?",24
Order of Operations,300,"What is 18 ÷ 3 + 4 x 2?",14
Order of Operations,400,"What is 20 - (6 ÷ 2) x 3?",11
Order of Operations,500,"What is 36 ÷ [3 x (2 + 1)] + 4?",8
Decimals,100,"What is 0.5 + 0.25?",0.75
Decimals,200,"What is 2.4 x 3?",7.2
Decimals,300,"What is 5.6 ÷ 0.8?",7
Decimals,400,"Convert 0.75 to a fraction.",3/4
Decimals,500,"What is 3.5 × 0.4?",1.4
