Category,Value,Question,Answer
Expressions and Order of Operations,100,"What is 8 + 4 × 2?",16
Expressions and Order of Operations,200,"What is (8 + 4) × 2?",24
Expressions and Order of Operations,300,"Evaluate 3x + 5 when x = 4.",17
Expressions and Order of Operations,400,"Simplify 4(3 + 2) - 6.",14
Expressions and Order of Operations,500,"Simplify 5(2x + 3) - 3x when x = 2.",23
Decimals,100,"What is 0.4 + 0.6?",1
Decimals,200,"What is 2.5 - 1.2?",1.3
Decimals,300,"What is 1.5 × 2?",3
Decimals,400,"What is 3.6 ÷ 0.6?",6
Decimals,500,"What is 4.25 × 2?",8.5
Fractions,100,"What is 1/2 + 1/2?",1
Fractions,200,"What is 3/4 - 1/4?",1/2
Fractions,300,"What is 2/3 × 3/4?",1/2
Fractions,400,"What is 4/5 ÷ 2/3?",6/5
Fractions,500,"What is (3/4 ÷ 1/2) + 1/4?",7/4
Ratios and Rates,100,"Write the ratio of 20 to 10 in simplest form.",2:1
Ratios and Rates,200,"If 5 items cost $10, what is the cost per item?",2
Ratios and Rates,300,"A car travels 100 miles in 2 hours. What is the unit rate?",50
Ratios and Rates,400,"The ratio of boys to girls is 3:2. If there are 25 students, how many are boys?",15
Ratios and Rates,500,"A recipe uses 0.5 cups for 5 servings. How much for 20 servings?",2 cups
Data and Statistics,100,"What is the mean of 2, 6, 10?",6
Data and Statistics,200,"What is the median of 1, 3, 5, 7, 9?",5
Data and Statistics,300,"What is the mode of 4, 4, 5, 6?",4
Data and Statistics,400,"The mean of 3 numbers is 7. What is the total?",21
Data and Statistics,500,"The mean is 8. Two numbers are 6 and 10. What is the third number?",8
