category,value,question,answer,image,answer_image
Systems + Word Problems,100,Solve the system: y = x + 2 and y = x + 5,No solution (parallel lines),,
Systems + Word Problems,200,Solve the system: y = x + 1 and y = 2x - 1,x = 2, y = 3,,
Systems + Word Problems,300,Solve: y = 3x and y = x + 4,x = 2, y = 6,,
Systems + Word Problems,400,Solve: 2x + y = 10 and x + y = 6,x = 4, y = 2,,
Systems + Word Problems,500,Two numbers add to 20 and differ by 4. Find them,x = 12 and x = 8,,

Algebra / Equations,100,Solve: x + 9 = 15,x = 6,,
Algebra / Equations,200,Solve: 3x - 6 = 12,x = 6,,
Algebra / Equations,300,Solve: 2(x + 4) = 20,x = 6,,
Algebra / Equations,400,Solve: 4x - 3 = 2x + 9,x = 6,,
Algebra / Equations,500,Solve: 5(2x - 1) + 3 = 4(x + 4),x = 15/2,,

Proportions / Functions / Relationships,100,If y = 2x + 3 find y when x = 2,y = 7,,
Proportions / Functions / Relationships,200,Find slope between (0,1) and (4,9),m = 2,,
Proportions / Functions / Relationships,300,Write equation with slope -1 and intercept 5,y = -x + 5,,
Proportions / Functions / Relationships,400,Find equation through (2,3) with slope 2,y = 2x - 1,,
Proportions / Functions / Relationships,500,Which line grows faster: y = 4x or y = 2x + 10?,y = 4x,,

Percent / Real-World Applications,100,What is 50% of 30?,15,,
Percent / Real-World Applications,200,A $60 item is discounted 10%. Price?,54,,
Percent / Real-World Applications,300,A value goes from 100 to 120. Percent increase?,20%,,
Percent / Real-World Applications,400,A car goes 240 miles in 4 hours. Rate?,60 mph,,
Percent / Real-World Applications,500,A value decreases from 80 to 60. Percent decrease?,25%,,

Error Analysis / Word Problems,100,A student says the solution to a system is where lines cross. Is this correct?,Yes,,
Error Analysis / Word Problems,200,A student solves y = x + 2 and y = x + 5 and says solution is (0,2). Mistake?,Lines never intersect,,
Error Analysis / Word Problems,300,A student substitutes incorrectly in system and gets wrong answer. What is key fix?,Substitute correctly and simplify carefully,,
Error Analysis / Word Problems,400,A student solves 2x + y = 10 and x + y = 6 and gets x = 6. What went wrong?,Incorrect subtraction of equations,,
Error Analysis / Word Problems,500,Two numbers have sum 18 and one is 2 more than the other. Find them,x = 10 and x = 8,,
