category,value,question,answer,image,answer_image
Percent,100,Convert 40% to a decimal,0.4,,
Percent,200,Find 10% of 90,9,,
Percent,300,Find 25% of 80,20,,
Percent,400,A $60 item is 20% off what is the discount?,12,,
Percent,500,A $50 item is discounted 30% what is the final price?,35,,

Inequalities,100,x + 3 < 10,x < 7,,
Inequalities,200,x - 5 > 2,x > 7,,
Inequalities,300,2x < 12,x < 6,,
Inequalities,400,3x + 3 ≤ 15,x ≤ 4,,
Inequalities,500,4x - 8 > 0,x > 2,,

Geometry,100,Find the area of a rectangle with length 8 and width 3,24,,
Geometry,200,Find the perimeter of a rectangle with sides 6 and 4,20,,
Geometry,300,Find the area of a triangle with base 10 and height 4,20,,
Geometry,400,Find the circumference of a circle with radius 5 (use 3.14),31.4,,
Geometry,500,Find the volume of a rectangular prism with length 4 width 3 height 2,24,,

Equations,100,x + 6 = 11,x = 5,,
Equations,200,2x = 14,x = 7,,
Equations,300,2x + 3 = 11,x = 4,,
Equations,400,3(x - 1) = 12,x = 5,,
Equations,500,5x - 10 = 2x + 11,x = 7,,

Error Analysis,100,A student says 25% of 80 is 200 what is wrong?,They multiplied incorrectly correct answer is 20,,
Error Analysis,200,A student solves x + 3 < 10 and gets x < 13 what is wrong?,They added instead of subtracting,,
Error Analysis,300,A student says area of triangle is base times height what is wrong?,They forgot to divide by 2,,
Error Analysis,400,A student solves 2x < 12 and says x < 12 what is wrong?,They forgot to divide by 2,,
Error Analysis,500,A student solves 3x + 3 ≤ 15 and gets x ≤ 6 what is wrong?,They did not subtract 3 before dividing correct answer is 4,,
