category,value,question,answer,image,answer_image
Fractions & Ratios,100,Simplify 16:20,4:5,,
Fractions & Ratios,200,What is 3/5 of 25?,15,,
Fractions & Ratios,300,Convert 9/10 to a decimal,0.9,,
Fractions & Ratios,400,If 8 items cost $12 what is the unit rate?,1.50 per item,,
Fractions & Ratios,500,A recipe uses 2/5 cup of oil and you triple it how much do you need?,1.2 cups,,
Data & Statistics,100,Find the mean of 4 6 and 10,6.67,,
Data & Statistics,200,Find the median of 2 3 7 9 11,7,,
Data & Statistics,300,Find the mode of 1 2 2 3 4,2,,
Data & Statistics,400,Find the range of 6 10 15 18,12,,
Data & Statistics,500,The mean of 4 numbers is 8 what is the total?,32,,
Expressions & Algebra,100,Solve x + 5 = 11,x = 6,,
Expressions & Algebra,200,Solve 6x = 36,x = 6,,
Expressions & Algebra,300,If x = 2 evaluate 4x + 3,11,,
Expressions & Algebra,400,Solve x - 7 = 12,x = 19,,
Expressions & Algebra,500,Solve 3x + 6 = 21,x = 5,,
Decimals,100,Add 2.3 + 4.5,6.8,,
Decimals,200,Multiply 0.6 × 7,4.2,,
Decimals,300,Divide 7.2 ÷ 3,2.4,,
Decimals,400,Order from least to greatest 0.8 0.08 0.88,0.08 0.8 0.88,,
Decimals,500,A student runs 1.75 miles each day for 4 days how far total?,7 miles,,
Geometry & Measurement,100,Find the area of a rectangle with length 9 and width 3,27,,
Geometry & Measurement,200,Find the perimeter of a rectangle with sides 6 and 4,20,,
Geometry & Measurement,300,Find the area of a triangle with base 12 and height 4,24,,
Geometry & Measurement,400,Find the volume of a rectangular prism with length 5 width 2 height 3,30,,
Geometry & Measurement,500,Find the area of a rectangle with length 4.5 and width 2,9,,
